sentence,word,translated,tips,course,sequence
"Hello, how are you today?",,,,test,1
The quick brown fox jumps over the lazy dog.,,,,test,2
Practice makes perfect.,,練習すれば完璧になります。,,test,3
I’ll catch up with you later.,,後で追いつきますね。,,beginner,1
That’s a piece of cake.,,簡単なことです。,,beginner,2
Can you give me a hand with this?,,これを手伝ってもらえますか？,,beginner,3
I’m a bit under the weather today.,,今日は少し体調が悪いです。,,beginner,4
Let’s grab some coffee.,,コーヒーを飲みに行きましょう。,,beginner,5
I’m just going to chill this weekend.,,今週末はリラックスするだけです。,,beginner,6
It slipped my mind completely.,,完全に忘れていました。,,beginner,7
I’ll be with you in a minute.,,すぐにそちらに行きます。,,beginner,8
She’s got a knack for solving problems.,,彼女は問題解決が得意です。,,beginner,9
Let’s play it by ear.,,臨機応変にやりましょう。,,beginner,10
I’m running a little late.,,少し遅れています。,,beginner,11
"Don’t worry, it’s no big deal.",,心配しないで、大したことじゃないよ。,,beginner,12
I’ll drop you a line when I’m free.,,時間ができたら連絡するね。,,beginner,13
I’m feeling a little out of sorts today.,,今日は少し調子が悪いです。,,beginner,14
It’s right around the corner.,,すぐそこだよ。,,beginner,15
Could you fill me in on the details?,,詳細を教えてもらえますか？,,beginner,16
Let’s keep it low-key tonight.,,今夜は静かに過ごそう。,,beginner,17
I’m swamped with work right now.,,今、仕事に追われています。,,beginner,18
Can you hold on for a sec?,,少し待てますか？,,beginner,19
That’s the last thing I expected.,,全く予想していなかった。,,beginner,20
I’m all ears. What’s the plan?,,何か計画はある？,,beginner,21
I’m in the middle of something right now.,,今は少し忙しいです。,,beginner,22
He’s a bit of a night owl.,,彼は夜型です。,,beginner,23
Let’s touch base tomorrow.,,明日連絡を取りましょう。,,beginner,24
"I’m not sure, but I’ll give it a shot.",,確信はないけど、試してみます。,,beginner,25
"You’re cutting it a bit close, aren’t you?",,ちょっとギリギリじゃない？,,beginner,26
Let me know if you’re free this weekend.,,今週末空いているか教えてください。,,beginner,27
I’ll get back to you as soon as I can.,,できるだけ早く返信します。,,beginner,28
He’s not feeling up to it today.,,今日は調子が悪そうです。,,beginner,29
That’s easier said than done.,,言うのは簡単だけどね。,,beginner,30
Let’s circle back on that later.,,それについては後で話し合いましょう。,,beginner,31
Can we touch base next week?,,来週連絡を取り合えますか？,,beginner,32
I’m looking forward to our meeting.,,会議を楽しみにしています。,,beginner,33
Let’s get the ball rolling on this project.,,このプロジェクトを始めましょう。,,beginner,34
I’ll keep you in the loop.,,進捗をお知らせします。,,beginner,35
Can you take the lead on this task?,,このタスクをリードしてもらえますか？,,beginner,36
Let’s brainstorm some ideas.,,アイデアを出し合いましょう。,,beginner,37
I’ll pencil that in for 2 p.m.,,それを午後2時に予定しておきます。,,beginner,38
We need to prioritize our tasks.,,タスクの優先順位を決める必要があります。,,beginner,39
That’s a win-win situation.,,それはウィンウィンの状況です。,,beginner,40
Let’s schedule a follow-up meeting.,,次回の会議を予定しましょう。,,beginner,41
I’ll reach out to them this afternoon.,,今日の午後に連絡します。,,beginner,42
Can we table this discussion for now?,,この議論は一旦保留にできますか？,,beginner,43
Let’s take this offline and discuss it further.,,これについては後で直接話しましょう。,,beginner,44
I’m going to run it by my manager.,,マネージャーに相談します。,,beginner,45
Can you give me an update on the progress?,,進捗を教えてもらえますか？,,beginner,46
Let’s align on our goals before moving forward.,,前に進む前に目標を一致させましょう。,,beginner,47
I’ll shoot you an email with the details.,,詳細をメールで送りますね。,,beginner,48
We need to focus on the big picture.,,大局に焦点を当てる必要があります。,,beginner,49
Let’s double-check the numbers before we proceed.,,進む前に数値を再確認しましょう。,,beginner,50
I’d like to pick your brain on this matter.,,この件についてあなたの意見を聞きたいです。,,beginner,51
Could you loop me in on that conversation?,,その会話に私も入れてもらえますか？,,beginner,52
We should touch base with the client.,,クライアントと連絡を取り合いましょう。,,beginner,53
I’ll need to follow up on that.,,その件について追って確認します。,,beginner,54
Can you give me some background on this project?,,このプロジェクトの背景を教えてもらえますか？,,beginner,55
Let’s drill down into the details.,,詳細を掘り下げてみましょう。,,beginner,56
We need to meet our deadlines.,,締め切りに間に合わせる必要があります。,,beginner,57
That’s a bit of a gray area.,,それは少し曖昧ですね。,,beginner,58
Let’s set some action items for next steps.,,次のステップのためにアクション項目を設定しましょう。,,beginner,59
I’d like to get your thoughts on this proposal.,,この提案についてあなたの考えを聞きたいです。,,beginner,60
The cat sat on a hat.,,猫が帽子の上に座っています。,,phonics_beginner,1
The sun is big and hot.,,太陽は大きくて暑いです。,,phonics_beginner,2
The pig hid in the mud.,,豚は泥の中に隠れました。,,phonics_beginner,3
We can hop on the log.,,私たちは丸太の上で跳ぶことができます。,,phonics_beginner,4
The red bug ran fast.,,赤い虫が速く走りました。,,phonics_beginner,5
She has a red cup.,,彼女は赤いカップを持っています。,,phonics_beginner,6
The dog dug a hole.,,犬が穴を掘りました。,,phonics_beginner,7
The bat can fly high.,,コウモリは高く飛べます。,,phonics_beginner,8
The big rat ran fast.,,大きなネズミが速く走りました。,,phonics_beginner,9
